Id,Score
5,5
11,4
17,4
46,5
47,2
48,5
55,5
59,5
78,4
79,4
80,3
91,5
95,4
97,5
104,4
107,5
109,5
111,5
134,5
145,5
147,5
151,5
155,4
161,3
168,5
186,2
188,5
197,5
200,4
201,5
210,5
211,5
212,5
220,5
224,5
226,5
232,5
235,5
236,2
241,5
243,5
277,5
291,5
293,5
303,1
337,5
338,3
342,5
344,5
355,5
365,5
366,5
368,5
377,4
387,5
391,5
394,4
402,5
403,4
412,4
413,5
421,5
422,5
432,4
441,5
444,4
460,5
470,5
476,5
480,3
485,5
492,4
494,5
502,2
505,5
519,5
521,5
525,5
526,3
532,5
534,1
539,5
542,3
555,5
558,1
560,1
565,5
573,5
589,1
594,5
598,5
602,1
611,1
615,3
622,5
624,5
638,5
641,4
642,3
643,5
644,5
648,5
657,3
661,5
662,5
666,5
674,1
678,1
681,5
683,5
686,3
688,4
689,4
690,1
695,2
699,3
711,2
715,5
716,3
722,5
725,5
727,5
734,5
740,4
750,5
754,5
757,5
762,5
763,5
767,1
769,5
772,5
777,2
780,5
787,1
795,2
808,2
816,5
818,5
820,1
824,5
825,5
836,2
839,5
840,5
842,5
846,1
848,4
853,4
866,5
871,2
874,1
878,5
884,4
893,2
895,5
903,5
904,5
905,5
906,1
908,5
910,5
922,5
924,3
926,2
931,5
934,5
936,5
945,5
950,5
966,5
969,5
973,5
976,3
979,5
984,5
985,5
987,5
990,3
991,5
993,5
998,5
1006,5
1008,5
1033,5
1034,5
1043,5
1047,5
1053,5
1057,5
1062,4
1063,5
1068,5
1077,5
1089,5
1096,5
1099,5
1107,5
1108,5
1112,3
1120,5
1126,3
1127,4
1130,1
1146,3
1156,5
1161,2
1175,3
1180,5
1185,5
1192,2
1193,2
1194,2
1195,4
1212,1
1214,1
1229,5
1230,5
1232,5
1236,5
1240,3
1242,1
1249,5
1252,5
1262,3
1267,4
1275,5
1280,3
1284,5
1285,4
1296,5
1307,2
1317,1
1320,5
1321,3
1323,5
1328,1
1332,5
1340,1
1343,2
1344,5
1346,3
1348,2
1356,5
1361,2
1362,3
1369,5
1373,1
1379,4
1381,5
1383,5
1404,4
1408,5
1419,3
1424,2
1426,3
1427,5
1428,3
1442,5
1443,4
1448,5
1450,2
1453,3
1464,5
1471,5
1479,1
1484,5
1488,5
1489,5
1496,5
1502,5
1504,1
1506,2
1507,5
1513,5
1527,5
1537,5
1539,5
1540,5
1560,5
1568,5
1579,5
1580,5
1581,5
1588,5
1596,5
1601,5
1611,4
1619,4
1621,4
1625,5
1636,4
1640,5
1645,5
1646,4
1647,5
1648,1
1649,5
1653,4
1654,1
1659,5
1662,5
1663,1
1670,1
1677,5
1679,3
1685,4
1695,2
1707,5
1714,5
1744,5
1746,5
1748,5
1769,5
1774,4
1814,5
1826,5
1833,4
1834,5
1836,4
1843,5
1848,5
1849,5
1852,4
1853,4
1865,4
1870,5
1871,5
1873,4
1880,4
1884,5
1888,5
1890,3
1896,5
1904,4
1910,5
1913,4
1924,4
1951,4
1952,3
1964,5
1972,5
1974,5
1977,5
1978,5
2001,4
2005,4
2009,1
2012,3
2018,5
2020,4
2024,5
2031,5
2033,1
2037,4
2047,4
2059,4
2061,5
2062,4
2063,4
2064,2
2066,3
2067,5
2070,5
2074,5
2080,4
2084,5
2087,1
2089,1
2090,2
2091,4
2092,4
2095,2
2099,3
2103,2
2110,4
2112,5
2121,2
2132,1
2154,5
2161,1
2167,4
2174,5
2178,4
2181,3
2205,5
2212,4
2213,5
2225,4
2232,3
2259,5
2264,4
2265,5
2274,5
2304,5
2322,4
2324,4
2328,3
2331,5
2332,5
2335,4
2340,4
2343,5
2347,2
2350,3
2355,3
2357,1
2358,4
2367,3
2372,5
2378,4
2382,3
2384,4
2388,4
2391,5
2392,4
2395,5
2414,5
2418,1
2437,4
2441,5
2442,5
2448,5
2450,5
2456,5
2457,5
2464,5
2467,5
2469,5
2470,4
2475,5
2497,4
2503,4
2510,3
2515,5
2526,3
2536,4
2537,5
2538,4
2545,5
2548,4
2558,4
2567,4
2569,5
2583,5
2584,5
2596,4
2599,4
2606,1
2608,4
2609,5
2611,3
2612,4
2613,3
2619,4
2623,4
2632,3
2649,4
2662,4
2667,4
2676,3
2688,4
2690,4
2692,4
2698,4
2701,5
2702,5
2711,4
2718,4
2730,5
2739,4
2742,4
2743,4
2746,2
2749,4
2763,3
2772,5
2773,4
2774,2
2776,5
2780,5
2785,4
2787,4
2796,4
2803,4
2805,4
2808,5
2809,2
2820,4
2822,4
2823,5
2824,5
2833,3
2836,5
2841,3
2842,5
2851,4
